id,target
300000,0.31361285
300001,0.579996
300002,0.21509913
300003,0.40670115
300004,0.80625373
300005,0.29439384
300006,0.5042352
300007,0.12181118
300008,0.5832739
300009,0.5908131
300010,0.31236345
300011,0.3101666
300012,0.46963358
300013,0.32726967
300014,0.20542333
300015,0.49523306
300016,0.082740635
300017,0.5521547
300018,0.55114394
300019,0.62165874
300020,0.27200183
300021,0.39651734
300022,0.059258744
300023,0.02952229
300024,0.2313544
300025,0.0346136
300026,0.07001928
300027,0.114241414
300028,0.11311431
300029,0.6586683
300030,0.1444379
300031,0.29100612
300032,0.16855606
300033,0.19227852
300034,0.092699446
300035,0.34395164
300036,0.23427898
300037,0.18758562
300038,0.36148447
300039,0.81499463
300040,0.13333341
300041,0.1207131
300042,0.10811587
300043,0.15725127
300044,0.44625282
300045,0.20033765
300046,0.112896726
300047,0.46072045
300048,0.7176466
300049,0.24078399
300050,0.11524006
300051,0.6207843
300052,0.20465474
300053,0.056521006
300054,0.73757875
300055,0.15445603
300056,0.082881205
300057,0.07102483
300058,0.3447669
300059,0.52493066
300060,0.1451242
300061,0.61474514
300062,0.27479985
300063,0.63132614
300064,0.034779914
300065,0.63697296
300066,0.3023459
300067,0.38750827
300068,0.4442073
300069,0.6979614
300070,0.56947494
300071,0.41729775
300072,0.18681729
300073,0.23489621
300074,0.15645106
300075,0.26756698
300076,0.4890964
300077,0.24267386
300078,0.35962027
300079,0.08872789
300080,0.06421895
300081,0.29703358
300082,0.93204385
300083,0.15660453
300084,0.2872004
300085,0.23643965
300086,0.34637448
300087,0.26577345
300088,0.36022943
300089,0.15531656
300090,0.4717514
300091,0.43775523
300092,0.21401443
300093,0.1609227
300094,0.37788445
300095,0.27493015
300096,0.25164568
300097,0.2761702
300098,0.07500911
300099,0.10241045
300100,0.05233899
300101,0.67444676
300102,0.2665593
300103,0.10170016
300104,0.37972164
300105,0.22535028
300106,0.3257443
300107,0.18922402
300108,0.44197455
300109,0.2707747
300110,0.17320578
300111,0.014860215
300112,0.36969626
300113,0.6431786
300114,0.18812577
300115,0.17573924
300116,0.68740094
300117,0.3819841
300118,0.47432026
300119,0.22319041
300120,0.30188257
300121,0.4427236
300122,0.3104432
300123,0.56705767
300124,0.16183099
300125,0.20317583
300126,0.3270145
300127,0.71134746
300128,0.33984458
300129,0.60548294
300130,0.31521276
300131,0.23714049
300132,0.29504687
300133,0.64775383
300134,0.6834178
300135,0.16029431
300136,0.030887289
300137,0.6044982
300138,0.86947566
300139,0.26903668
300140,0.495291
300141,0.033774648
300142,0.13913213
300143,0.3673112
300144,0.32812616
300145,0.20638193
300146,0.6549777
300147,0.0779238
300148,0.2642177
300149,0.06871213
300150,0.08247349
300151,0.04965699
300152,0.11014322
300153,0.35332277
300154,0.29067373
300155,0.16466855
300156,0.588087
300157,0.046062455
300158,0.22093266
300159,0.16919246
300160,0.21911873
300161,0.28997758
300162,0.29208797
300163,0.20789775
300164,0.32060316
300165,0.25836566
300166,0.05370217
300167,0.10223375
300168,0.18087247
300169,0.24803858
300170,0.5090252
300171,0.8815416
300172,0.12657668
300173,0.05684612
300174,0.05790005
300175,0.3102786
300176,0.23446076
300177,0.7191893
300178,0.20388813
300179,0.3864925
300180,0.28372234
300181,0.3406355
300182,0.86966026
300183,0.7069559
300184,0.45496207
300185,0.36406204
300186,0.3007897
300187,0.19761305
300188,0.43492904
300189,0.11929563
300190,0.2927989
300191,0.5448894
300192,0.29241195
300193,0.014818208
300194,0.23339458
300195,0.03575949
300196,0.5162804
300197,0.21935534
300198,0.11030794
300199,0.19403417
300200,0.30264345
300201,0.2946344
300202,0.28435007
300203,0.5304121
300204,0.636483
300205,0.4787194
300206,0.31635678
300207,0.3341955
300208,0.47478324
300209,0.17316608
300210,0.41058508
300211,0.45742673
300212,0.07670376
300213,0.4864402
300214,0.14130037
300215,0.08868668
300216,0.16243403
300217,0.5543741
300218,0.057309236
300219,0.025880806
300220,0.17967796
300221,0.13586034
300222,0.020243151
300223,0.3349217
300224,0.22829752
300225,0.12052451
300226,0.382635
300227,0.12507156
300228,0.11853926
300229,0.15309472
300230,0.4534278
300231,0.05967422
300232,0.08155177
300233,0.7344804
300234,0.2815334
300235,0.3447626
300236,0.1756042
300237,0.40111738
300238,0.11068578
300239,0.20244409
